estado,Grande,Ano,Estoque
MS,Comercio,2011,114300
MS,Industria,2011,119650
MS,Serviços,2011,160529
MT,Adm Publica,2011,141443
MT,Agricultura,2011,95059
MT,Comercio,2011,168142
MT,Industria,2011,141766
MT,Serviços,2011,162967
PA,Adm Publica,2011,373479
PA,Agricultura,2011,49499
PA,Comercio,2011,187929
PA,Industria,2011,187046
PA,Serviços,2011,239404
PB,Adm Publica,2011,250792
PB,Agricultura,2011,14702
PB,Comercio,2011,90230
PB,Industria,2011,129031
PB,Serviços,2011,129442
PE,Adm Publica,2011,413734
PE,Agricultura,2011,46541
PE,Comercio,2011,285068
PE,Industria,2011,384904
PE,Serviços,2011,518680
PI,Adm Publica,2011,141792
PI,Agricultura,2011,8506
PI,Comercio,2011,75362
PI,Industria,2011,63579
PI,Serviços,2011,103847
PR,Adm Publica,2011,439407
PR,Agricultura,2011,104730
PR,Comercio,2011,617790
PR,Industria,2011,846548
PR,Serviços,2011,911802
RJ,Adm Publica,2011,804625
RJ,Agricultura,2011,22604
RJ,Comercio,2011,814301
RJ,Industria,2011,783712
RJ,Serviços,2011,1923810
RN,Adm Publica,2011,189546
RN,Agricultura,2011,14995
RN,Comercio,2011,106667
RN,Industria,2011,129131
RN,Serviços,2011,152721
RO,Adm Publica,2011,117858
RO,Agricultura,2011,10919
RO,Comercio,2011,75993
RO,Industria,2011,79894
RO,Serviços,2011,67796
RR,Adm Publica,2011,49220
RR,Agricultura,2011,1136
RR,Comercio,2011,14477
RR,Industria,2011,7532
RR,Serviços,2011,19623
RS,Adm Publica,2011,452273
RS,Agricultura,2011,84715
RS,Comercio,2011,583779
RS,Industria,2011,898640
RS,Serviços,2011,901182
SC,Adm Publica,2011,242512
SC,Agricultura,2011,45054
SC,Comercio,2011,412205
SC,Industria,2011,763197
SC,Serviços,2011,598609
SE,Adm Publica,2011,119059
SE,Agricultura,2011,13842
SE,Comercio,2011,60242
SE,Industria,2011,84062
SE,Serviços,2011,108467
SP,Adm Publica,2011,1615890
SP,Agricultura,2011,361435
SP,Comercio,2011,2586375
SP,Industria,2011,3538287
SP,Serviços,2011,5310792
TO,Adm Publica,2011,106023
TO,Agricultura,2011,17155
TO,Comercio,2011,42541
TO,Industria,2011,32440
TO,Serviços,2011,44610
AC,Adm Publica,2012,52978
AC,Agricultura,2012,3058
AC,Comercio,2012,24244
AC,Industria,2012,16231
AC,Serviços,2012,29677
AL,Adm Publica,2012,149954
AL,Agricultura,2012,8940
AL,Comercio,2012,83664
AL,Industria,2012,144338
